Activo,Beta,Beta_Alternativa,Alfa,R_Squared,Correlacion,Volatilidad_Activo,Volatilidad_Indice,P_Value,Std_Error,Ticker,Sector
1,0.5113546932071366,0.5116457317348583,0.0003412854460046968,0.10649186326176736,0.3263309106746821,0.017942637919925567,0.0114504422274728,6.736006174079239e-45,0.03534687576188252,1,Healthcare Equipment & Supplies
2,0.7794137074192603,0.7798573122612747,-2.4252568395825182e-06,0.2340087574312121,0.48374451669369034,0.018449060030908324,0.0114504422274728,8.763857626794792e-104,0.033651283281178654,2,Software & IT Services
3,0.56208502562037,0.5624049374163975,0.0003731133621464399,0.11382744353536642,0.3373832294814999,0.019076591692731227,0.0114504422274728,4.684403413173627e-48,0.037426172665981416,3,Electric Utilities & IPPs
4,0.931402019255184,0.9319321285433203,1.4259330568747556e-05,0.34830390037555686,0.5901727716317968,0.018070920118095114,0.0114504422274728,1.736971597713358e-165,0.03040313103889365,4,Insurance
5,0.47049185914927044,0.470759640514751,0.0008678120666615944,0.05868900804300151,0.24225814339873383,0.022238013451700327,0.0114504422274728,6.747610562564401e-25,0.04496535618793362,5,Oil & Gas
6,0.8713096307377769,0.8718055383249926,0.000492930420659121,0.2362499893643309,0.4860555414397935,0.02052621508943208,0.0114504422274728,6.657549527237251e-105,0.03738522290693196,6,Aerospace & Defense
7,0.910505105616835,0.9110233213855412,0.0005861621998724307,0.3710486577912801,0.6091376345221826,0.017115485103563935,0.0114504422274728,4.7890698832004555e-179,0.028288715064865685,7,Banking Services
8,0.4741761225179443,0.4744460007891554,0.0003106875479844776,0.07196624171494677,0.2682652450746215,0.020239395136811292,0.0114504422274728,2.3383860537137823e-30,0.040634498188013346,8,Healthcare Equipment & Supplies
9,1.5323167719929636,1.5331888930925612,0.00022196275439248343,0.20155932236094992,0.4489535859762677,0.039081333171087605,0.0114504422274728,6.244419646619529e-88,0.07277901640539647,9,Pharmaceuticals
10,0.6676939692102367,0.6680739885438794,-0.0003544185507808847,0.13365401440291494,0.36558721859894794,0.02091263269370714,0.0114504422274728,1.0187289937125428e-56,0.04056671842696414,10,Pharmaceuticals
11,1.2556871214616436,1.256401798252459,0.00030185161029219244,0.5523091768006355,0.7431750647059115,0.019346952720713108,0.0114504422274728,9.272090183453255e-309,0.026978459715397723,11,Investment Banking & Investment Services
12,0.9734401758213541,0.9739942112088449,0.0005997669142935719,0.3095868844493267,0.5564053238865769,0.020032735160196907,0.0114504422274728,1.8681271202527273e-143,0.03469047530885483,12,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
13,1.3398545908395778,1.3406171717108581,1.5176522637865892e-05,0.1300495865651336,0.36062388518390404,0.04254273833747593,0.0114504422274728,3.954525202110594e-55,0.08269669902880787,13,Residential & Commercial REITs
14,0.4129387479681868,0.41317377286742885,8.146384201273687e-05,0.08177189966760683,0.2859578634477585,0.016535062963772953,0.0114504422274728,1.9552008918206665e-34,0.03302148705706884,14,Personal & Household Products & Services
15,1.1332113563757784,1.1338563258444043,-8.544036416989213e-05,0.2878043642079905,0.5364740107479489,0.024187138440511208,0.0114504422274728,1.3540995267485738e-131,0.04254020993043947,15,Telecommunications Services
16,0.49200754106853056,0.4922875681266231,0.0007467416735096067,0.1127751193270239,0.3358200698693036,0.016775959598479977,0.0114504422274728,1.334094239825694e-47,0.032932121728818445,16,Oil & Gas
17,0.4744036142019497,0.4746736219504996,0.00044114068804943104,0.139271213689198,0.3731905862815916,0.014555916940586751,0.0114504422274728,3.302231538950542e-59,0.028144155196492084,17,Oil & Gas
18,0.3955405081274295,0.39576563078430343,0.0006059443017582712,0.09079493851518529,0.30132198478568617,0.01503081077923895,0.0114504422274728,3.1859963297611803e-38,0.029869559249284996,18,Electric Utilities & IPPs
19,0.9226788638963451,0.9232040083834803,6.573545421755291e-05,0.2533913067161307,0.5033798831063184,0.020988286143576177,0.0114504422274728,1.421302392822259e-113,0.037795403140123564,19,Electronic Equipment & Parts
20,1.0867958825700055,1.0874144345805747,8.885985710582656e-05,0.3127217288299395,0.5592152795032871,0.02225313563942062,0.0114504422274728,3.419246588942139e-145,0.03844793384587339,20,Media & Publishing
21,0.8797942310167696,0.8802949676308942,0.00032416566667601367,0.33364251472269485,0.5776179660664089,0.017440650405882916,0.0114504422274728,5.401017964651981e-157,0.029670973893904752,21,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
22,0.5560520634922523,0.5563685416160385,0.0011889029721577013,0.07290749740436323,0.2700138837251952,0.023580424608703035,0.0114504422274728,9.532303743495467e-31,0.04731824623323485,22,Oil & Gas
23,0.9645277146358785,0.9650766774785854,-0.0006444755076316805,0.1975005282852954,0.4444103152327761,0.02485151333053478,0.0114504422274728,5.4116391913970885e-86,0.04639708566455705,23,Automobiles & Auto Parts
24,0.8405322983240838,0.8410106889321227,0.0005156759508075711,0.25074710886038354,0.5007465515212097,0.019220235252837677,0.0114504422274728,3.184360494054178e-112,0.03467275869330883,24,Freight & Logistics Services
25,1.1772118495537272,1.1778818619894438,-0.00010765122578652238,0.522477467468876,0.7228260284943233,0.0186484655248095,0.0114504422274728,3.775494360170204e-284,0.026856877664837357,25,Aerospace & Defense
26,1.1447038457125331,1.1453553561540315,-0.0002709764633959403,0.2985256498800676,0.5463750084695194,0.023989686661571592,0.0114504422274728,2.187272694868422e-137,0.04187414547956525,26,Specialty Retailers
27,1.0481434281232846,1.0487399810135085,-9.644492727834443e-05,0.3762597597401115,0.6134001628138939,0.01956586661923057,0.0114504422274728,3.197184025891337e-182,0.03220449212251088,27,Software & IT Services
28,1.7527628098752719,1.7537603982701926,-0.0004506780274446295,0.43513207038322893,0.6596454126144053,0.03042529957632181,0.0114504422274728,4.670674966596707e-220,0.04765668248663949,28,Semiconductors & Semiconductor Equipment
29,0.41986520402031396,0.4201041711256187,0.0002624049270458342,0.11113884636094286,0.33337493361220616,0.014421127017165332,0.0114504422274728,6.77511426864105e-47,0.028335550177683307,29,Pharmaceuticals
30,1.413836206091443,1.4146408937443122,0.0001071783902550742,0.5198069284761189,0.7209763716489735,0.02245434168658367,0.0114504422274728,5.065450141686078e-282,0.03242826819083944,30,Banking Services
31,0.3928051153346734,0.3930286811373682,-1.466165560331607e-05,0.0854506010373912,0.29231934769595946,0.015386570595640523,0.0114504422274728,5.636993778940443e-36,0.03066626628261388,31,Beverages
32,0.5631062228020481,0.5634267158144568,-6.123546440872852e-05,0.11128041331250073,0.33358718997062936,0.019328725640492896,0.0114504422274728,5.887184426827585e-47,0.03797528848988806,32,Pharmaceuticals
33,1.0864632159871621,1.0870815786598922,0.0004415314697068937,0.3002985826476967,0.5479950571380153,0.022701818428632472,0.0114504422274728,2.364086264977012e-138,0.039576055552777295,33,Specialty Retailers
34,0.5359295786671445,0.5362346040391804,0.00011103976925581418,0.11232928452522667,0.33515561240299513,0.018309795364975772,0.0114504422274728,2.0777841538472708e-47,0.03595215448093121,34,Hotels & Entertainment Services
